district_,mandal,circle,wardname,female,male,transgender,total_illiterates,total_illiterates_by_ward,percentage_male,percentage_female,rank_by_illiterates
Ranga Reddy(U),Ranga Reddy(U),Alwal,Alwal-SC,4432,2293,15,6725,6725,34.09665427509294,65.90334572490706,34
Ranga Reddy(U),Ranga Reddy(U),Alwal,Macha Bollaram,4925,2714,15,7639,7639,35.52821049875638,64.47178950124362,29
Ranga Reddy(U),Ranga Reddy(U),Alwal,Yapral-SC,2161,1114,9,3275,3275,34.01526717557252,65.98473282442748,47
Ranga Reddy(U),Ranga Reddy(U),Kapra,4- Ammuguda (Part),858,449,5,1307,1307,34.35348125478194,65.64651874521805,51
Ranga Reddy(U),Ranga Reddy(U),Kapra,Cherlapalli,5151,3236,9,8387,8387,38.58352211756289,61.41647788243711,27
Ranga Reddy(U),Ranga Reddy(U),Kapra,Kapra,4843,2953,17,7796,7796,37.878399179066186,62.12160082093381,28
Ranga Reddy(U),Ranga Reddy(U),Kapra,Mallapur,4701,2863,13,7564,7564,37.850343733474354,62.149656266525646,30
Ranga Reddy(U),Ranga Reddy(U),Kapra,Nacharam,5365,3409,13,8774,8774,38.853430590380675,61.14656940961933,25
Ranga Reddy(U),Ranga Reddy(U),Kukatpally,Fathe Nagar,5198,3801,39,8999,8999,42.23802644738304,57.76197355261695,22
Ranga Reddy(U),Ranga Reddy(U),Kukatpally,Hydernagar,6888,4568,17,11456,11456,39.874301675977655,60.125698324022345,14
Ranga Reddy(U),Ranga Reddy(U),Kukatpally,KPHB Colony,3296,1701,11,4997,4997,34.04042425455273,65.95957574544727,45
Ranga Reddy(U),Ranga Reddy(U),Kukatpally,Kukatpally,3871,2593,10,6464,6464,40.114480198019805,59.8855198019802,37
Ranga Reddy(U),Ranga Reddy(U),Kukatpally,Moosapet,8126,6130,27,14256,14256,42.99943883277217,57.000561167227836,6
Ranga Reddy(U),Ranga Reddy(U),Kukatpally,Mothinagar,8346,6237,30,14583,14583,42.76897757663033,57.23102242336968,4
Ranga Reddy(U),Ranga Reddy(U),Kukatpally,Old Bowenpally,6504,4287,14,10791,10791,39.72755073672505,60.27244926327495,15
Ranga Reddy(U),Ranga Reddy(U),Kukatpally,Vivekananda Nagar Colony,5683,3401,13,9084,9084,37.43945398502862,62.56054601497137,20
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,Champapet,4506,2560,15,7066,7066,36.2298330031135,63.7701669968865,33
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,Gaddiannaram,1647,791,4,2438,2438,32.444626743232156,67.55537325676785,49
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,Hayathnagar,5321,3146,23,8467,8467,37.15601747962678,62.84398252037321,26
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,Karmanghat,5961,3488,11,9449,9449,36.91395914911631,63.0860408508837,16
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,Kothapet,4825,2675,24,7500,7500,35.66666666666667,64.33333333333333,31
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,Mansoorabad,4667,2794,22,7461,7461,37.448063262297275,62.55193673770272,32
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,P&T Colony,1657,754,3,2411,2411,31.273330568228953,68.72666943177104,50
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,Rama Krishna Puram,2808,1690,5,4498,4498,37.57225433526011,62.42774566473989,46
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,Saroornagar,4164,2412,14,6576,6576,36.67883211678832,63.32116788321168,36
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,Vansathalipuram,1808,868,4,2676,2676,32.436472346786246,67.56352765321375,48
Ranga Reddy(U),Ranga Reddy(U),Malkajigiri,Defence Colony,3757,2197,17,5954,5954,36.8995633187773,63.1004366812227,39
Ranga Reddy(U),Ranga Reddy(U),Malkajigiri,Gautham Nagar,3470,1683,8,5153,5153,32.660586066369106,67.3394139336309,43
Ranga Reddy(U),Ranga Reddy(U),Malkajigiri,Moula Ali,5459,3417,19,8876,8876,38.497070752591256,61.502929247408744,23
Ranga Reddy(U),Ranga Reddy(U),Malkajigiri,Old Malkajgiri,3867,2072,5,5939,5939,34.88802828759051,65.1119717124095,40
Ranga Reddy(U),Ranga Reddy(U),Malkajigiri,Safilguda,3379,1714,15,5093,5093,33.65403494993128,66.34596505006873,44
Ranga Reddy(U),Ranga Reddy(U),Qutbullapur,Chintal,3638,2218,9,5856,5856,37.87568306010929,62.12431693989071,41
Ranga Reddy(U),Ranga Reddy(U),Qutbullapur,Gajula Ramaram,9022,6778,24,15800,15800,42.89873417721519,57.10126582278481,3
Ranga Reddy(U),Ranga Reddy(U),Qutbullapur,Jagadgiri gutta,6950,4628,24,11578,11578,39.97236137502159,60.02763862497841,13
Ranga Reddy(U),Ranga Reddy(U),Qutbullapur,Jeedimetla,5711,3465,26,9176,9176,37.7615518744551,62.2384481255449,18
Ranga Reddy(U),Ranga Reddy(U),Qutbullapur,Qutubullapur,5579,3441,23,9020,9020,38.148558758314856,61.851441241685144,21
Ranga Reddy(U),Ranga Reddy(U),Qutbullapur,Shapur Nagar,5495,3669,18,9164,9164,40.0371017023134,59.96289829768659,19
Ranga Reddy(U),Ranga Reddy(U),Qutbullapur,Suraram Colony,7675,5090,26,12765,12765,39.874657265961616,60.12534273403839,8
Ranga Reddy(U),Ranga Reddy(U),Rajendra Nagar,Attapur,9871,8813,28,18684,18684,47.168700492399914,52.83129950760008,2
Ranga Reddy(U),Ranga Reddy(U),Rajendra Nagar,Mylardevpally,7153,5043,31,12196,12196,41.349622827156445,58.65037717284356,11
Ranga Reddy(U),Ranga Reddy(U),Rajendra Nagar,Rajendra Nagar,7116,4942,23,12058,12058,40.98523801625477,59.01476198374523,12
Ranga Reddy(U),Ranga Reddy(U),Rajendra Nagar,Shivarampally,7299,6585,21,13884,13884,47.42869490060501,52.57130509939498,7
Ranga Reddy(U),Ranga Reddy(U),Secunderabad,Addagutta,4069,2516,16,6585,6585,38.20804859529233,61.79195140470767,35
Ranga Reddy(U),Ranga Reddy(U),Secunderabad,Tarnaka,3958,2363,12,6321,6321,37.38332542319253,62.61667457680746,38
Ranga Reddy(U),Ranga Reddy(U),Serilingampally-1,Gachibowli,5545,3656,19,9201,9201,39.73481143353983,60.26518856646017,17
Ranga Reddy(U),Ranga Reddy(U),Serilingampally-1,Serilingampally,11271,7815,40,19086,19086,40.94624331971078,59.05375668028922,1
Ranga Reddy(U),Ranga Reddy(U),Serilingampally-2,Chanda Nagar,7451,4876,21,12327,12327,39.555447391903954,60.444552608096046,10
Ranga Reddy(U),Ranga Reddy(U),Serilingampally-2,Hafeezpet,8359,6055,21,14414,14414,42.00777022339392,57.992229776606074,5
Ranga Reddy(U),Ranga Reddy(U),Uppal,Habsiguda,3420,2043,9,5463,5463,37.39703459637562,62.60296540362438,42
Ranga Reddy(U),Ranga Reddy(U),Uppal,Ramanthapur,5478,3328,19,8806,8806,37.7924142630025,62.20758573699751,24
Ranga Reddy(U),Ranga Reddy(U),Uppal,Uppal,7935,4686,31,12621,12621,37.12859519847873,62.871404801521265,9
