district_,mandal,circle,ward,female,male,transgender
Ranga Reddy(U),Ranga Reddy(U),Alwal,Alwal-SC,4432,2293,15
Ranga Reddy(U),Ranga Reddy(U),Alwal,Macha Bollaram,4925,2714,15
Ranga Reddy(U),Ranga Reddy(U),Alwal,Yapral-SC,2161,1114,9
Ranga Reddy(U),Ranga Reddy(U),Kapra,4- Ammuguda (Part),858,449,5
Ranga Reddy(U),Ranga Reddy(U),Kapra,Cherlapalli,5151,3236,9
Ranga Reddy(U),Ranga Reddy(U),Kapra,Kapra,4843,2953,17
Ranga Reddy(U),Ranga Reddy(U),Kapra,Mallapur,4701,2863,13
Ranga Reddy(U),Ranga Reddy(U),Kapra,Nacharam,5365,3409,13
Ranga Reddy(U),Ranga Reddy(U),Kukatpally,Fathe Nagar,5198,3801,39
Ranga Reddy(U),Ranga Reddy(U),Kukatpally,Hydernagar,6888,4568,17
Ranga Reddy(U),Ranga Reddy(U),Kukatpally,KPHB Colony,3296,1701,11
Ranga Reddy(U),Ranga Reddy(U),Kukatpally,Kukatpally,3871,2593,10
Ranga Reddy(U),Ranga Reddy(U),Kukatpally,Moosapet,8126,6130,27
Ranga Reddy(U),Ranga Reddy(U),Kukatpally,Mothinagar,8346,6237,30
Ranga Reddy(U),Ranga Reddy(U),Kukatpally,Old Bowenpally,6504,4287,14
Ranga Reddy(U),Ranga Reddy(U),Kukatpally,Vivekananda Nagar Colony,5683,3401,13
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,Champapet,4506,2560,15
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,Gaddiannaram,1647,791,4
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,Hayathnagar,5321,3146,23
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,Karmanghat,5961,3488,11
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,Kothapet,4825,2675,24
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,Mansoorabad,4667,2794,22
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,P&T Colony,1657,754,3
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,Rama Krishna Puram,2808,1690,5
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,Saroornagar,4164,2412,14
Ranga Reddy(U),Ranga Reddy(U),L B Nagar,Vansathalipuram,1808,868,4
Ranga Reddy(U),Ranga Reddy(U),Malkajigiri,Defence Colony,3757,2197,17
Ranga Reddy(U),Ranga Reddy(U),Malkajigiri,Gautham Nagar,3470,1683,8
Ranga Reddy(U),Ranga Reddy(U),Malkajigiri,Moula Ali,5459,3417,19
Ranga Reddy(U),Ranga Reddy(U),Malkajigiri,Old Malkajgiri,3867,2072,5
Ranga Reddy(U),Ranga Reddy(U),Malkajigiri,Safilguda,3379,1714,15
Ranga Reddy(U),Ranga Reddy(U),Qutbullapur,Chintal,3638,2218,9
Ranga Reddy(U),Ranga Reddy(U),Qutbullapur,Gajula Ramaram,9022,6778,24
Ranga Reddy(U),Ranga Reddy(U),Qutbullapur,Jagadgiri gutta,6950,4628,24
Ranga Reddy(U),Ranga Reddy(U),Qutbullapur,Jeedimetla,5711,3465,26
Ranga Reddy(U),Ranga Reddy(U),Qutbullapur,Qutubullapur,5579,3441,23
Ranga Reddy(U),Ranga Reddy(U),Qutbullapur,Shapur Nagar,5495,3669,18
Ranga Reddy(U),Ranga Reddy(U),Qutbullapur,Suraram Colony,7675,5090,26
Ranga Reddy(U),Ranga Reddy(U),Rajendra Nagar,Attapur,9871,8813,28
Ranga Reddy(U),Ranga Reddy(U),Rajendra Nagar,Mylardevpally,7153,5043,31
Ranga Reddy(U),Ranga Reddy(U),Rajendra Nagar,Rajendra Nagar,7116,4942,23
Ranga Reddy(U),Ranga Reddy(U),Rajendra Nagar,Shivarampally,7299,6585,21
Ranga Reddy(U),Ranga Reddy(U),Secunderabad,Addagutta,4069,2516,16
Ranga Reddy(U),Ranga Reddy(U),Secunderabad,Tarnaka,3958,2363,12
Ranga Reddy(U),Ranga Reddy(U),Serilingampally-1,Gachibowli,5545,3656,19
Ranga Reddy(U),Ranga Reddy(U),Serilingampally-1,Serilingampally,11271,7815,40
Ranga Reddy(U),Ranga Reddy(U),Serilingampally-2,Chanda Nagar,7451,4876,21
Ranga Reddy(U),Ranga Reddy(U),Serilingampally-2,Hafeezpet,8359,6055,21
Ranga Reddy(U),Ranga Reddy(U),Uppal,Habsiguda,3420,2043,9
Ranga Reddy(U),Ranga Reddy(U),Uppal,Ramanthapur,5478,3328,19
Ranga Reddy(U),Ranga Reddy(U),Uppal,Uppal,7935,4686,31
